station,x(m),y(m),z(m)
G000,728.4138455687,1924.0703508486,66.0313210424
G001,880.5629516927,1782.7890380192,64.6444932239
G002,710.3008567444,1427.7744570632,62.7723216961
G003,572.6421416798,877.1395968049,64.8550356475
G004,79.9688456592,1474.8682280063,90.2815125659
G005,108.9496277781,1119.8536470503,86.9680833282
G006,224.8727562535,732.2356862106,72.1098325986
G007,275.5891249615,670.6515242080,69.5567769695
G008,833.4691807495,228.6945968954,59.6112512619
G009,626.9811081527,127.2618594794,55.0933101839
